,Age,Embarked,Fare,Parch,Pclass,Sex,SibSp,Survived,Title
0,22,0,7,0,3,0,1,0,1
4,35,0,8,0,3,0,0,0,1
5,32,2,8,0,3,0,0,0,1
6,54,0,51,0,1,0,0,0,1
12,20,0,8,0,3,0,0,0,1
13,39,0,31,5,3,0,1,0,1
17,32,0,13,0,2,0,0,1,1
20,35,0,26,0,2,0,0,0,1
21,34,0,13,0,2,0,0,1,1
23,28,0,35,0,1,0,0,1,1
26,32,1,7,0,3,0,0,0,1
27,19,0,263,2,1,0,3,0,1
29,32,0,7,0,3,0,0,0,1
33,66,0,10,0,2,0,0,0,1
34,28,1,82,0,1,0,1,0,1
35,42,0,52,0,1,0,1,0,1
36,32,1,7,0,3,0,0,1,1
37,21,0,8,0,3,0,0,0,1
42,32,1,7,0,3,0,0,0,1
45,32,0,8,0,3,0,0,0,1
46,32,2,15,0,3,0,1,0,1
48,32,1,21,0,3,0,2,0,1
51,21,0,7,0,3,0,0,0,1
54,65,1,61,1,1,0,0,0,1
55,32,0,35,0,1,0,0,1,1
57,28,1,7,0,3,0,0,0,1
60,22,1,7,0,3,0,0,0,1
62,45,0,83,0,1,0,1,0,1
64,32,1,27,0,1,0,0,0,1
67,19,0,8,0,3,0,0,0,1
69,26,0,8,0,3,0,2,0,1
70,32,0,10,0,2,0,0,0,1
72,21,0,73,0,2,0,0,0,1
73,26,1,14,0,3,0,1,0,1
74,32,0,56,0,3,0,0,1,1
75,25,0,7,0,3,0,0,0,1
76,32,0,7,0,3,0,0,0,1
77,32,0,8,0,3,0,0,0,1
80,22,0,9,0,3,0,0,0,1
81,29,0,9,0,3,0,0,1,1
83,28,0,47,0,1,0,0,0,1
86,16,0,34,3,3,0,1,0,1
87,32,0,8,0,3,0,0,0,1
89,24,0,8,0,3,0,0,0,1
90,29,0,8,0,3,0,0,0,1
91,20,0,7,0,3,0,0,0,1
92,46,0,61,0,1,0,1,0,1
93,26,0,20,2,3,0,1,0,1
94,59,0,7,0,3,0,0,0,1
95,32,0,8,0,3,0,0,0,1
96,71,1,34,0,1,0,0,0,1
97,23,1,63,1,1,0,0,1,1
99,34,0,26,0,2,0,1,0,1
101,32,0,7,0,3,0,0,0,1
102,21,0,77,1,1,0,0,0,1
103,33,0,8,0,3,0,0,0,1
104,37,0,7,0,3,0,2,0,1
105,28,0,7,0,3,0,0,0,1
107,32,0,7,0,3,0,0,1,1
108,38,0,7,0,3,0,0,0,1
110,47,0,52,0,1,0,0,0,1
112,22,0,8,0,3,0,0,0,1
115,21,0,7,0,3,0,0,0,1
116,70,2,7,0,3,0,0,0,1
117,29,0,21,0,2,0,1,0,1
118,24,1,247,1,1,0,0,0,1
120,21,0,73,0,2,0,2,0,1
121,32,0,8,0,3,0,0,0,1
122,32,1,30,0,2,0,1,0,1
124,54,0,77,1,1,0,0,0,1
126,32,2,7,0,3,0,0,0,1
127,24,0,7,0,3,0,0,1,1
129,45,0,6,0,3,0,0,0,1
130,33,1,7,0,3,0,0,0,1
131,20,0,7,0,3,0,0,0,1
134,25,0,13,0,2,0,0,0,1
135,23,1,15,0,2,0,0,0,1
137,37,0,53,0,1,0,1,0,1
138,16,0,9,0,3,0,0,0,1
139,24,1,79,0,1,0,0,0,1
143,19,2,6,0,3,0,0,0,1
144,18,0,11,0,2,0,0,0,1
145,19,0,36,1,2,0,1,0,1
146,27,0,7,0,3,0,0,1,1
148,36,0,26,2,2,0,0,0,1
152,55,0,8,0,3,0,0,0,1
